індекс,назва,ккал,жири,вуглеводи,цукри,білки,вага
1,чізкейк,185,10.6,15,7.6,8.7,
2,вишневий джем без цукру,46,0,12.5,4.1,0.5,
3,виноградна олія 1/3 ч.л.,837,93,0,0,0,1.7
4,виноградна олія 1/4 ч.л.,837,93,0,0,0,1.2
5,яйце,143,11,1.1,0.5,13,60
6,тістечко вишневе без цукру,100,21,7,0,2.44,
7,локшина reeva,420,19.8,51.1,2.1,8,
8,крем-сир,243,23,4,2.8,5,
9,сосиски,321,30,0.3,0.3,10,
10,тістечко полуничне,224,8.7,38.8,24.2,2.6,
11,нагетси,193,8.8,15.8,0.5,12.8,
12,печиво висівкове,430,20,50,1,7.8,
13,печиво фісташкове,514,35,47,6,11,
14,айсберг,14,0.2,2.2,1.4,0.9,
15,огірок,15,0.1,2.8,1.4,0.82,
16,помідор,25,0.2,3.9,2.6,1.1,
17,картопля,77,0.1,17,1,2,
18,соус дорблю,268,26,7.7,4.1,0.8,
19,десерт без цукру фісташковий,286,30,5.9,2.9,3.1,
20,кунжут,573,50,23,0.3,18,
21,моцарела,280,17,3.1,1,28,
22,хліб висівковий,165,1.2,34.2,3.4,6.6,
23,сушене м'ясо,188,5.2,2,2,33.5,
24,картопляні трикутники,149,6.7,18.9,0.6,2,
25,огірки,15,0.1,3.7,1.7,0.8,
26,салат зелений,15,0.2,2.9,0.8,1.4,
